epoch,split,loss_total,loss_ce,loss_bbox,loss_giou,loss_cardinality
0,train,3.847696,1.176706,0.201700,0.831245,5.173672
0,val,3.815783,1.195304,0.190810,0.833215,6.036958
1,train,3.613365,1.132454,0.180157,0.790063,4.896896
1,val,3.515294,1.131750,0.170777,0.764829,4.629775
2,train,3.471540,1.098543,0.167793,0.767015,4.757747
2,val,3.445072,1.116349,0.159871,0.764683,5.319141
3,train,3.411942,1.086219,0.162520,0.756561,4.749155
3,val,3.382990,1.095957,0.154454,0.757380,4.935634
4,train,3.374704,1.074474,0.159857,0.750473,4.822639
4,val,3.366779,1.084319,0.154711,0.754453,6.131421
5,train,3.348010,1.066947,0.157466,0.746867,4.957480
5,val,3.325868,1.084687,0.153100,0.737841,4.970947
6,train,3.313242,1.056066,0.155023,0.741031,5.011769
6,val,3.385908,1.089185,0.154802,0.761356,4.682223
7,train,3.291306,1.049576,0.153377,0.737422,4.990075
7,val,3.343254,1.106277,0.152797,0.736496,6.916573
8,train,3.270430,1.044658,0.151736,0.733547,5.053194
8,val,3.287863,1.079427,0.148545,0.732855,5.581982
9,train,3.253488,1.038252,0.150558,0.731223,5.130962
9,val,3.274856,1.063937,0.146091,0.740232,4.931019
0,train,1.871846,0.725887,0.058898,0.425734,5.799255
0,val,1.603644,0.527198,0.052247,0.407607,8.170104
1,train,1.669678,0.519797,0.059138,0.427096,6.339525
1,val,1.668276,0.519408,0.059718,0.425138,5.718620
2,train,1.642020,0.491364,0.058804,0.428318,6.258521
2,val,1.513683,0.445326,0.051125,0.406365,7.626806
3,train,1.602703,0.475743,0.057019,0.420933,6.507866
3,val,1.529193,0.465761,0.050830,0.404640,8.504575
